Time,ActiveNode,ToActivate
10260000,6666,-226
10290000,6445,-221
10320000,6230,-215
10350000,6021,-209
10380000,5817,-204
10410000,5619,-198
10440000,5427,-192
10470000,5241,-186
10500000,5060,-181
10530000,4885,-175
10560000,4716,-169
10590000,4551,-165
10620000,4393,-158
10650000,4239,-154
10680000,4091,-148
10710000,3948,-143
10740000,3810,-138
10770000,3677,-133
